ID,DATA,CLIENTE,PRODUTO,CATEGORIA,QUANTIDADE,PRECO_UNITARIO,DESCONTO_PERCENTUAL,FORMA_PAGAMENTO,CIDADE,ESTADO,STATUS
122,2026-03-11,CLIENTE_0122,PRODUTO_123,CATEGORIA_03,3,182.14,22,BOLETO,CIDADE_03,UF15,CANCELADO
123,2024-04-12,CLIENTE_0123,PRODUTO_124,CATEGORIA_04,4,183.51,23,CARTAO_DEBITO,CIDADE_04,UF16,PAGO
124,2025-05-13,CLIENTE_0124,PRODUTO_125,CATEGORIA_05,5,184.88,24,CARTAO_CREDITO,CIDADE_05,UF17,PENDENTE
125,2026-06-14,CLIENTE_0125,PRODUTO_126,CATEGORIA_06,6,186.25,0,PIX,CIDADE_06,UF18,CANCELADO
126,2024-07-15,CLIENTE_0126,PRODUTO_127,CATEGORIA_07,7,187.62,1,BOLETO,CIDADE_07,UF19,PAGO
127,2025-08-16,CLIENTE_0127,PRODUTO_128,CATEGORIA_08,8,188.99,2,CARTAO_DEBITO,CIDADE_08,UF20,PENDENTE
128,2026-09-17,CLIENTE_0128,PRODUTO_129,CATEGORIA_09,9,190.36,3,CARTAO_CREDITO,CIDADE_09,UF21,CANCELADO
129,2024-10-18,CLIENTE_0129,PRODUTO_130,CATEGORIA_10,10,191.73,4,PIX,CIDADE_10,UF22,PAGO
130,2025-11-19,CLIENTE_0130,PRODUTO_131,CATEGORIA_11,1,193.10,5,BOLETO,CIDADE_11,UF23,PENDENTE
131,2026-12-20,CLIENTE_0131,PRODUTO_132,CATEGORIA_12,2,194.47,6,CARTAO_DEBITO,CIDADE_12,UF24,CANCELADO
132,2024-01-21,CLIENTE_0132,PRODUTO_133,CATEGORIA_01,3,195.84,7,CARTAO_CREDITO,CIDADE_13,UF25,PAGO
133,2025-02-22,CLIENTE_0133,PRODUTO_134,CATEGORIA_02,4,197.21,8,PIX,CIDADE_14,UF26,PENDENTE
134,2026-03-23,CLIENTE_0134,PRODUTO_135,CATEGORIA_03,5,198.58,9,BOLETO,CIDADE_15,UF27,CANCELADO
135,2024-04-24,CLIENTE_0135,PRODUTO_136,CATEGORIA_04,6,199.95,10,CARTAO_DEBITO,CIDADE_16,UF01,PAGO
136,2025-05-25,CLIENTE_0136,PRODUTO_137,CATEGORIA_05,7,201.32,11,CARTAO_CREDITO,CIDADE_17,UF02,PENDENTE
137,2026-06-26,CLIENTE_0137,PRODUTO_138,CATEGORIA_06,8,202.69,12,PIX,CIDADE_18,UF03,CANCELADO
138,2024-07-27,CLIENTE_0138,PRODUTO_139,CATEGORIA_07,9,204.06,13,BOLETO,CIDADE_19,UF04,PAGO
139,2025-08-28,CLIENTE_0139,PRODUTO_140,CATEGORIA_08,10,205.43,14,CARTAO_DEBITO,CIDADE_20,UF05,PENDENTE
140,2026-09-01,CLIENTE_0140,PRODUTO_141,CATEGORIA_09,1,206.80,15,CARTAO_CREDITO,CIDADE_21,UF06,CANCELADO
141,2024-10-02,CLIENTE_0141,PRODUTO_142,CATEGORIA_10,2,208.17,16,PIX,CIDADE_22,UF07,PAGO
142,2025-11-03,CLIENTE_0142,PRODUTO_143,CATEGORIA_11,3,209.54,17,BOLETO,CIDADE_23,UF08,PENDENTE
143,2026-12-04,CLIENTE_0143,PRODUTO_144,CATEGORIA_12,4,210.91,18,CARTAO_DEBITO,CIDADE_24,UF09,CANCELADO
144,2024-01-05,CLIENTE_0144,PRODUTO_145,CATEGORIA_01,5,212.28,19,CARTAO_CREDITO,CIDADE_25,UF10,PAGO
145,2025-02-06,CLIENTE_0145,PRODUTO_146,CATEGORIA_02,6,213.65,20,PIX,CIDADE_26,UF11,PENDENTE
146,2026-03-07,CLIENTE_0146,PRODUTO_147,CATEGORIA_03,7,215.02,21,BOLETO,CIDADE_27,UF12,CANCELADO
147,2024-04-08,CLIENTE_0147,PRODUTO_148,CATEGORIA_04,8,216.39,22,CARTAO_DEBITO,CIDADE_28,UF13,PAGO
148,2025-05-09,CLIENTE_0148,PRODUTO_149,CATEGORIA_05,9,217.76,23,CARTAO_CREDITO,CIDADE_29,UF14,PENDENTE
149,2026-06-10,CLIENTE_0149,PRODUTO_150,CATEGORIA_06,10,219.13,24,PIX,CIDADE_30,UF15,CANCELADO
150,2024-07-11,CLIENTE_0150,PRODUTO_151,CATEGORIA_07,1,220.50,0,BOLETO,CIDADE_31,UF16,PAGO
151,2025-08-12,CLIENTE_0151,PRODUTO_152,CATEGORIA_08,2,221.87,1,CARTAO_DEBITO,CIDADE_32,UF17,PENDENTE
152,2026-09-13,CLIENTE_0152,PRODUTO_153,CATEGORIA_09,3,223.24,2,CARTAO_CREDITO,CIDADE_33,UF18,CANCELADO
153,2024-10-14,CLIENTE_0153,PRODUTO_154,CATEGORIA_10,4,224.61,3,PIX,CIDADE_34,UF19,PAGO
154,2025-11-15,CLIENTE_0154,PRODUTO_155,CATEGORIA_11,5,225.98,4,BOLETO,CIDADE_35,UF20,PENDENTE
155,2026-12-16,CLIENTE_0155,PRODUTO_156,CATEGORIA_12,6,227.35,5,CARTAO_DEBITO,CIDADE_36,UF21,CANCELADO
156,2024-01-17,CLIENTE_0156,PRODUTO_157,CATEGORIA_01,7,228.72,6,CARTAO_CREDITO,CIDADE_37,UF22,PAGO
157,2025-02-18,CLIENTE_0157,PRODUTO_158,CATEGORIA_02,8,230.09,7,PIX,CIDADE_38,UF23,PENDENTE
158,2026-03-19,CLIENTE_0158,PRODUTO_159,CATEGORIA_03,9,231.46,8,BOLETO,CIDADE_39,UF24,CANCELADO
159,2024-04-20,CLIENTE_0159,PRODUTO_160,CATEGORIA_04,10,232.83,9,CARTAO_DEBITO,CIDADE_40,UF25,PAGO
160,2025-05-21,CLIENTE_0160,PRODUTO_161,CATEGORIA_05,1,234.20,10,CARTAO_CREDITO,CIDADE_01,UF26,PENDENTE
161,2026-06-22,CLIENTE_0161,PRODUTO_162,CATEGORIA_06,2,235.57,11,PIX,CIDADE_02,UF27,CANCELADO
162,2024-07-23,CLIENTE_0162,PRODUTO_163,CATEGORIA_07,3,236.94,12,BOLETO,CIDADE_03,UF01,PAGO
163,2025-08-24,CLIENTE_0163,PRODUTO_164,CATEGORIA_08,4,238.31,13,CARTAO_DEBITO,CIDADE_04,UF02,PENDENTE
164,2026-09-25,CLIENTE_0164,PRODUTO_165,CATEGORIA_09,5,239.68,14,CARTAO_CREDITO,CIDADE_05,UF03,CANCELADO
165,2024-10-26,CLIENTE_0165,PRODUTO_166,CATEGORIA_10,6,241.05,15,PIX,CIDADE_06,UF04,PAGO
166,2025-11-27,CLIENTE_0166,PRODUTO_167,CATEGORIA_11,7,242.42,16,BOLETO,CIDADE_07,UF05,PENDENTE
167,2026-12-28,CLIENTE_0167,PRODUTO_168,CATEGORIA_12,8,243.79,17,CARTAO_DEBITO,CIDADE_08,UF06,CANCELADO
168,2024-01-01,CLIENTE_0168,PRODUTO_169,CATEGORIA_01,9,245.16,18,CARTAO_CREDITO,CIDADE_09,UF07,PAGO
169,2025-02-02,CLIENTE_0169,PRODUTO_170,CATEGORIA_02,10,246.53,19,PIX,CIDADE_10,UF08,PENDENTE
170,2026-03-03,CLIENTE_0170,PRODUTO_171,CATEGORIA_03,1,247.90,20,BOLETO,CIDADE_11,UF09,CANCELADO
171,2024-04-04,CLIENTE_0171,PRODUTO_172,CATEGORIA_04,2,249.27,21,CARTAO_DEBITO,CIDADE_12,UF10,PAGO
172,2025-05-05,CLIENTE_0172,PRODUTO_173,CATEGORIA_05,3,250.64,22,CARTAO_CREDITO,CIDADE_13,UF11,PENDENTE
173,2026-06-06,CLIENTE_0173,PRODUTO_174,CATEGORIA_06,4,252.01,23,PIX,CIDADE_14,UF12,CANCELADO
174,2024-07-07,CLIENTE_0174,PRODUTO_175,CATEGORIA_07,5,253.38,24,BOLETO,CIDADE_15,UF13,PAGO
175,2025-08-08,CLIENTE_0175,PRODUTO_176,CATEGORIA_08,6,254.75,0,CARTAO_DEBITO,CIDADE_16,UF14,PENDENTE
176,2026-09-09,CLIENTE_0176,PRODUTO_177,CATEGORIA_09,7,256.12,1,CARTAO_CREDITO,CIDADE_17,UF15,CANCELADO
177,2024-10-10,CLIENTE_0177,PRODUTO_178,CATEGORIA_10,8,257.49,2,PIX,CIDADE_18,UF16,PAGO
178,2025-11-11,CLIENTE_0178,PRODUTO_179,CATEGORIA_11,9,258.86,3,BOLETO,CIDADE_19,UF17,PENDENTE
179,2026-12-12,CLIENTE_0179,PRODUTO_180,CATEGORIA_12,10,260.23,4,CARTAO_DEBITO,CIDADE_20,UF18,CANCELADO
180,2024-01-13,CLIENTE_0180,PRODUTO_001,CATEGORIA_01,1,261.60,5,CARTAO_CREDITO,CIDADE_21,UF19,PAGO
181,2025-02-14,CLIENTE_0181,PRODUTO_002,CATEGORIA_02,2,262.97,6,PIX,CIDADE_22,UF20,PENDENTE
182,2026-03-15,CLIENTE_0182,PRODUTO_003,CATEGORIA_03,3,264.34,7,BOLETO,CIDADE_23,UF21,CANCELADO
183,2024-04-16,CLIENTE_0183,PRODUTO_004,CATEGORIA_04,4,265.71,8,CARTAO_DEBITO,CIDADE_24,UF22,PAGO
184,2025-05-17,CLIENTE_0184,PRODUTO_005,CATEGORIA_05,5,267.08,9,CARTAO_CREDITO,CIDADE_25,UF23,PENDENTE
185,2026-06-18,CLIENTE_0185,PRODUTO_006,CATEGORIA_06,6,268.45,10,PIX,CIDADE_26,UF24,CANCELADO
186,2024-07-19,CLIENTE_0186,PRODUTO_007,CATEGORIA_07,7,269.82,11,BOLETO,CIDADE_27,UF25,PAGO
187,2025-08-20,CLIENTE_0187,PRODUTO_008,CATEGORIA_08,8,271.19,12,CARTAO_DEBITO,CIDADE_28,UF26,PENDENTE
188,2026-09-21,CLIENTE_0188,PRODUTO_009,CATEGORIA_09,9,272.56,13,CARTAO_CREDITO,CIDADE_29,UF27,CANCELADO
189,2024-10-22,CLIENTE_0189,PRODUTO_010,CATEGORIA_10,10,273.93,14,PIX,CIDADE_30,UF01,PAGO
